trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.98, 'e': 0.42805066795449304}",20,3,-89.72082746260917,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.98, 'e': 0.41948965459540316}",20,0,31.766150983546655,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.98, 'e': 0.4110998615034951}",20,0,-86.08129162007022,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.98, 'e': 0.4028778642734252}",30,15,-28.65599821047611,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.98, 'e': 0.39482030698795667}",35,20,11.738040214972777,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.98, 'e': 0.38692390084819756}",20,8,7.960121642226651,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.98, 'e': 0.3791854228312336}",30,22,-4.464747996235726,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.98, 'e': 0.37160171437460887}",20,0,-25.757767535803847,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.98, 'e': 0.3641696800871167}",20,0,17.80821856914886,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.98, 'e': 0.35688628648537435}",20,5,-7.462020284794468,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.98, 'e': 0.34974856075566685}",20,0,-3.075557894522232,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.98, 'e': 0.3427535895405535}",25,0,-119.06454978231656,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.98, 'e': 0.33589851774974244}",20,3,16.351545446048426,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.98, 'e': 0.3291805473947476}",20,8,-72.10666650356247,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.98, 'e': 0.32259693644685267}",20,9,6.6010736991928045,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.98, 'e': 0.3161449977179156}",35,17,39.35309978807866,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.98, 'e': 0.3098220977635573}",20,0,-10.83189246166896,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.98, 'e': 0.30362565580828615}",25,11,23.64971686558594,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.98, 'e': 0.2975531426921204}",20,9,-11.456836821323602,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.98, 'e': 0.291602079838278}",25,11,-37.91668555964565,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.98, 'e': 0.2857700382415124}",25,0,11.511581116624756,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.98, 'e': 0.2800546374766822}",20,7,-42.41654355242035,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.98, 'e': 0.27445354472714856}",20,13,12.66376853178238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.98, 'e': 0.2689644738326056}",25,6,8.222503494965132,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.98, 'e': 0.26358518435595346}",20,2,21.309267732947227,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.98, 'e': 0.25831348066883436}",35,16,27.135050580581368,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.98, 'e': 0.2531472110554577}",20,15,9.327236800598445,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.98, 'e': 0.24808426683434853}",30,19,-9.412412688307304,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.98, 'e': 0.24312258149766156}",25,0,-12.085001139432421,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.98, 'e': 0.2382601298677083}",20,7,13.31606368729214,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.98, 'e': 0.23349492727035415}",25,7,5.173917628571303,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.98, 'e': 0.22882502872494706}",20,16,8.432971220446355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.98, 'e': 0.22424852815044813}",30,15,-10.44177688565455,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.98, 'e': 0.21976355758743915}",20,8,-30.594557790900417,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.98, 'e': 0.21536828643569036}",20,0,22.18833744287667,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.98, 'e': 0.21106092070697655}",30,13,-34.890077087428345,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.98, 'e': 0.20683970229283702}",30,20,18.984663141195416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.98, 'e': 0.20270290824698028}",20,9,-9.14464003878092,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.98, 'e': 0.19864885008204067}",20,14,13.711738139664565,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.98, 'e': 0.19467587308039985}",20,12,-8.901867369477369,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.98, 'e': 0.19078235561879187}",25,14,11.70198037287589,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.98, 'e': 0.18696670850641603}",20,3,18.28874164191449,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.98, 'e': 0.18322737433628772}",30,22,0.8599196473690154,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.98, 'e': 0.17956282684956196}",25,11,-39.84214516128854,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
86,False,"{'a': 0.98, 'e': 0.1759715703125707}",20,13,0.6409543278644074,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.98, 'e': 0.1724521389063193}",20,14,11.985204861391164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.98, 'e': 0.16900309612819292}",25,19,10.830800709704532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.98, 'e': 0.16562303420562907}",25,7,21.890410424056764,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.98, 'e': 0.16231057352151648}",20,0,28.260980576368382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.98, 'e': 0.15906436205108615}",20,11,5.1766838307504095,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.98, 'e': 0.15588307481006441}",30,12,-34.72911284419781,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
93,False,"{'a': 0.98, 'e': 0.15276541331386312}",20,12,-27.172798755435526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.98, 'e': 0.14971010504758586}",25,12,24.826228173966786,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.98, 'e': 0.14671590294663414}",20,10,16.791646050565802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.98, 'e': 0.14378158488770146}",30,19,13.73632133370114,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.98, 'e': 0.14090595318994742}",20,13,13.960840276512876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.98, 'e': 0.13808783412614847}",25,11,21.842055772803803,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.98, 'e': 0.13532607744362551}",25,11,24.65552266082004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.98, 'e': 0.132619555894753}",20,6,25.986567466114707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.98, 'e': 0.12996716477685794}",30,14,22.040894035034203,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.98, 'e': 0.12736782148132078}",20,8,6.106305007052218,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.98, 'e': 0.12482046505169436}",20,12,15.45824993043916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.98, 'e': 0.12232405575066048}",25,17,15.906431856246918,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.98, 'e': 0.11987757463564727}",20,15,9.900741425909187,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.98, 'e': 0.11748002314293432}",30,24,12.859206517700912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.98, 'e': 0.11513042268007563}",20,9,22.16847436089933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.98, 'e': 0.11282781422647412}",20,8,22.895960517683985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.98, 'e': 0.11057125794194463}",20,5,26.20117409860711,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.98, 'e': 0.10835983278310574}",25,3,38.05544710675633,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.98, 'e': 0.10619263612744362}",20,0,23.726253773032596,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.98, 'e': 0.10406878340489474}",20,0,33.099379563587426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.98, 'e': 0.10198740773679685}",30,18,10.488596051080808,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.98, 'e': 0.09994765958206091}",20,13,13.937405768977431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.98, 'e': 0.0979487063904197}",30,12,-23.59316023797242,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.98, 'e': 0.0959897322626113}",20,10,12.377315919429876,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.98, 'e': 0.09406993761735907}",20,10,20.605083755353025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.98, 'e': 0.0921885388650119}",20,10,19.853488383034872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.98, 'e': 0.09034476808771166}",25,15,16.765017889456622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.98, 'e': 0.08853787272595742}",20,1,-49.58055477785088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
