trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,True,"{'a': 0, 'e': 0}",20,0,-77.56886496211632,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
26,True,"{'a': 0, 'e': 0}",30,0,-203.5023933150947,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
27,True,"{'a': 0, 'e': 0}",25,0,-88.4580769187173,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
28,True,"{'a': 0, 'e': 0}",25,0,-77.38151562852192,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",25,0,-91.62834087624448,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",20,0,-152.7951144989617,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
31,True,"{'a': 0, 'e': 0}",30,0,-196.50649510765953,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
32,True,"{'a': 0, 'e': 0}",20,0,-160.7869935519382,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
33,True,"{'a': 0, 'e': 0}",20,0,-32.58186249767488,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",20,8,6.578769187873434,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",30,0,-189.853410001653,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
36,True,"{'a': 0, 'e': 0}",20,0,-122.73172470815983,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
37,True,"{'a': 0, 'e': 0}",30,0,-192.7290377655613,"{0: 14, 1: 2, 2: 10, 3: 3, 4: 1}",0
38,True,"{'a': 0, 'e': 0}",30,0,-147.88066740586032,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
39,True,"{'a': 0, 'e': 0}",30,0,-197.73238843020013,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
40,True,"{'a': 0, 'e': 0}",25,0,-166.99860201741433,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
41,True,"{'a': 0, 'e': 0}",20,0,-53.97401490824801,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",25,0,-49.88543888585455,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
43,True,"{'a': 0, 'e': 0}",25,0,-141.05862938865565,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
44,True,"{'a': 0, 'e': 0}",20,0,-196.36257346240973,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
45,True,"{'a': 0, 'e': 0}",20,0,-161.86163991688036,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
46,True,"{'a': 0, 'e': 0}",25,0,-209.86555253471408,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
47,True,"{'a': 0, 'e': 0}",30,16,-37.341237795631464,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,0,-67.31164682477281,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
49,True,"{'a': 0, 'e': 0}",20,2,-21.58831658493508,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",20,0,-62.6594229412422,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
